player,pos,age,team,team_g,g,gs,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,offensive_raptor,defensive_raptor
Denzel Valentine,SF,26,CHI,51,46.62745098,0,12.1,2.2,5.5,0.409,1.2,3.3,0.365,1,2.2,0.476,0.519,0.2,0.2,1,0.1,1.8,1.9,1.1,0.7,0.2,0.7,1.3,5.9,13.5,0.527,0.604,0.031,1.2,16.8,8.7,14.6,2.7,1.3,10.5,21.9,0,0.803921569,0.803921569,0.07,-1.1,-0.3,-1.4,0.160784314,0.353723022,3.713416907
Jarred Vanderbilt,SF,20,DEN,49,11.71428571,0,4.1,0.3,0.6,0.5,0,0,0,0.3,0.6,0.5,0.5,0,0,0,0.1,0.4,0.6,0.1,0.1,0,0.7,0.3,0.6,-1.9,0.5,0,0,3.7,11.4,7.6,4.4,1.7,0,55.6,13.4,-0.167346939,0,-0.167346939,-0.16,-10.8,0.3,-10.5,-0.167346939,-11.09911851,-6.286740447
Fred VanVleet,PG,25,TOR,49,65.26530612,65.26530612,35.9,6,14.7,0.407,2.7,6.9,0.398,3.3,7.8,0.415,0.5,3.2,3.9,0.828,0.4,3.5,3.9,6.9,1.9,0.3,2.2,2.3,17.9,16.9,0.546,0.468,0.263,1.2,10,5.7,28.8,2.6,0.9,11.9,22.2,3.681632653,3.681632653,7.363265306,0.15,1.9,0.6,2.5,2.67755102,1.67010465,1.030725073
Gabe Vincent,PG,23,MIA,48,1.708333333,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.6,0,1,0,0,0,0,0,0,0,0,44.1,0,0,0,-1.077,-28.4,-15,-43.4,0,-28.26218329,-25.77863065
Noah Vonleh,C,24,MIN,48,49.54166667,1.708333333,12,1.6,3,0.547,0.1,0.5,0.143,1.6,2.5,0.625,0.558,0.8,1,0.821,1.2,2.8,4,0.9,0.4,0.2,0.7,1.2,4.1,15.5,0.605,0.163,0.326,9.9,25.4,17.4,11,1.5,1.4,16.2,14,1.025,0.683333333,1.5375,0.131,-1.8,1,-0.9,0.170833333,-3.86862008,1.706899106
Nikola Vucevic,C,29,ORL,49,63.59183673,63.59183673,31.7,7.4,16.6,0.447,1.7,4.8,0.354,5.7,11.8,0.484,0.498,2.2,2.7,0.814,2.7,8.3,11,3.5,0.9,0.9,1.4,2.3,18.7,21.7,0.526,0.287,0.162,8.5,28.8,18.3,19.7,1.4,2.5,7.1,26.2,3.012244898,3.346938776,6.359183673,0.152,2,2.2,4.2,3.179591837,0.103083122,1.715399487
Dean Wade,PF,23,CLE,50,14.76,0,5.6,0.8,1.1,0.7,0.2,0.3,0.667,0.6,0.8,0.714,0.8,0,0.1,0,0.2,1.4,1.7,0.1,0.2,0.3,0.3,0.8,1.8,14.9,0.766,0.3,0.1,4.4,28.9,16.6,2.9,1.9,5.1,22.3,11.5,0,0.164,0.164,0.101,-3.1,1.3,-1.8,0,-2.398086969,1.298992232
Moritz Wagner,C,22,WAS,48,35.875,6.833333333,20.4,4.4,7.6,0.581,1,2.7,0.393,3.4,5,0.683,0.65,1.7,2,0.837,1.6,4.4,6,1.3,0.7,0.6,2,3.9,11.6,18.6,0.682,0.35,0.269,8.3,24.6,16.1,9.8,1.6,2.6,19.4,21.4,1.366666667,0.5125,1.708333333,0.114,1.1,-0.8,0.3,0.5125,-0.600657036,2.166970214
Dion Waiters,SG,28,MIA,48,5.125,0,14,3.3,8.7,0.385,2.7,5.7,0.471,0.7,3,0.222,0.538,0,0.3,0,0,3.7,3.7,1,0,0.7,1,1.7,9.3,13.9,0.53,0.654,0.038,0,27.8,14.7,12.5,0,4.6,10.2,30.9,0,0.170833333,0,0.014,-2.3,-2,-4.3,0,1.574420949,-2.878236379
Kemba Walker,PG,29,BOS,48,71.75,71.75,32.1,7.4,16.9,0.439,3.4,8.8,0.388,4,8,0.494,0.54,3.8,4.4,0.865,0.7,3.2,4,5,1,0.6,2.2,1.6,22,21.8,0.586,0.523,0.261,2.4,10.8,6.6,25.2,1.6,1.7,10.3,27.9,6.15,2.904166667,9.054166667,0.189,5.2,-0.8,4.5,3.758333333,6.122446113,-0.500102161
Lonnie Walker,SG,21,SAS,48,68.33333333,1.708333333,12.9,2.2,5,0.447,0.6,1.4,0.4,1.7,3.6,0.465,0.503,0.8,1.1,0.721,0.3,1.7,2,0.7,0.5,0.1,0.6,1.2,5.8,12.1,0.53,0.276,0.216,2.5,13.5,8.1,8.1,1.7,0.8,9.2,20.1,0.170833333,0.5125,0.854166667,0.043,-2.3,-2,-4.3,-0.5125,-0.550449623,0.261467303
Tyrone Wallace,SG,25,ATL,50,22.96,0,11.4,1,3.1,0.318,0.1,1.1,0.067,0.9,2.1,0.448,0.33,0.8,1.2,0.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9,4,0.389,0.341,0.386,2,12.9,7.4,11,2,0.5,16.3,15.9,-0.492,0.164,-0.328,-0.071,-6.9,-1.2,-8,-0.328,-6.244859323,1.289718404
Taurean Prince,SF,25,BRK,48,82,82,29.9,4.5,11.7,0.385,2.4,6.9,0.352,2.1,4.8,0.433,0.488,0.9,1.2,0.789,0.8,5.6,6.4,2.1,1,0.4,2,2.4,12.4,10,0.506,0.588,0.102,2.9,18.8,11,10.5,1.5,1.1,14.2,19.9,-1.708333333,3.075,1.5375,0.029,-2.5,0.4,-2.1,0,-1.191320473,-0.010741649
Derrick Walton,PG,24,LAC,49,38.48979592,1.673469388,9.7,0.7,1.6,0.472,0.4,0.9,0.429,0.3,0.7,0.533,0.597,0.3,0.4,0.778,0.1,0.6,0.7,1,0.2,0,0.2,0.8,2.2,8.4,0.626,0.583,0.25,0.9,5.9,3.5,12.6,0.8,0,9.1,8.2,0.669387755,0.334693878,0.836734694,0.112,-0.9,-1.4,-2.2,0,-0.859145019,-1.278465744
Brad Wanamaker,PG,30,BOS,48,80.29166667,0,18.4,2.1,4.9,0.422,0.5,1.4,0.328,1.6,3.5,0.461,0.47,1.7,1.8,0.907,0.3,1.7,2,2.6,0.6,0.2,1.1,1.8,6.3,11.7,0.548,0.289,0.371,1.6,9.8,5.7,19,1.6,1.2,15.6,15.8,1.5375,1.879166667,3.245833333,0.107,-1.7,-0.1,-1.8,0.170833333,-1.354828155,-0.310870858
T.J. Warren,SF,26,IND,49,82,82,32.2,7.2,14,0.516,1.1,3,0.378,6.1,10.9,0.554,0.557,2.6,3.1,0.817,0.9,2.8,3.7,1.4,1.1,0.4,1.2,2.7,18.1,16.9,0.59,0.216,0.224,3.2,9.5,6.4,6.7,1.7,1.2,7.2,22.6,4.183673469,2.844897959,7.028571429,0.127,0.9,-0.8,0,1.33877551,-0.025641808,0.515435086
P.J. Washington,PF,21,CHO,49,71.95918367,71.95918367,30.1,4.6,9.6,0.477,1.4,3.4,0.401,3.2,6.2,0.519,0.548,1.7,2.5,0.657,0.8,4.5,5.3,2,0.9,0.8,1.6,2.8,12.2,13,0.569,0.356,0.262,2.8,17.2,9.7,11,1.5,2.5,12.9,17.9,1.171428571,1.673469388,2.844897959,0.064,-1.6,0.5,-1.1,0.502040816,-2.116777527,-0.099700439
Yuta Watanabe,SG,25,MEM,49,10.04081633,0,4.3,0.5,1,0.5,0.2,0.3,0.5,0.3,0.7,0.5,0.583,0,0.3,0,0.2,0.7,0.8,0,0,0.2,0.2,0.3,1.2,6.1,0.509,0.333,0.333,4.2,16.2,10.3,0,0,3.3,12.7,12.7,0,0,0,-0.018,-6.7,-3.6,-10.3,-0.167346939,-4.285506655,5.255731947
Tremont Waters,PG,22,BOS,48,10.25,0,9.3,1.5,4.2,0.36,0.3,2.3,0.143,1.2,1.8,0.636,0.4,1,1,1,0,1,1,1.3,0.7,0.3,0.8,1,4.3,12.4,0.47,0.56,0.24,0,11.4,5.8,20.6,3.4,3.3,15.3,24.8,-0.170833333,0.170833333,0,0.042,-2.8,0.8,-2,0,0.33999253,1.648732488
Paul Watson,SG-SF,25,TOT,49,5.020408163,0,6.3,0,2.3,0,0,1,0,0,1.3,0,0,0,0,0,0,0.7,0.7,1,0.3,0,0,0.3,0,-6.3,0,0.429,0,0,11.4,5.6,19.1,2.4,0,0,15.3,-0.167346939,0,-0.167346939,-0.283,-12.7,-1.5,-14.2,-0.167346939,-10.8612371,-1.530727947
Russell Westbrook,PG,31,HOU,48,70.04166667,70.04166667,35.9,10.1,22.3,0.456,1,4.2,0.234,9.2,18.1,0.507,0.478,5.2,6.6,0.789,1.7,6.4,8,7.4,1.7,0.4,4.4,3.6,26.5,20.8,0.526,0.187,0.296,4.9,18.4,11.6,35.8,2.1,0.9,14.9,33.7,2.733333333,2.904166667,5.6375,0.108,0.9,1,2,2.5625,0.176739398,-0.80567984
Coby White,SG,19,CHI,51,82,0,23.9,4.1,10.8,0.376,1.8,5.1,0.345,2.3,5.7,0.405,0.458,1.2,1.7,0.729,0.5,3,3.4,2.1,0.7,0.1,1.5,1.6,11.1,10,0.482,0.475,0.155,2,14,7.8,13.9,1.5,0.3,11.5,23.3,-1.768627451,1.929411765,0.160784314,0.004,-3,-1.5,-4.5,-1.28627451,-2.321706295,-1.532461115
Derrick White,SG,25,SAS,48,78.58333333,18.79166667,23.8,3.5,7.4,0.465,1,2.6,0.378,2.5,4.8,0.511,0.531,2.1,2.5,0.821,0.5,2.6,3.1,3.2,0.6,0.8,1.2,2.1,10,15.2,0.583,0.348,0.342,2.4,11.4,6.9,18.6,1.2,2.9,12.5,17.7,3.075,1.195833333,4.270833333,0.108,0.6,-0.3,0.4,1.025,0.648358993,1.773678273
Hassan Whiteside,C,30,POR,50,75.44,75.44,30.8,6.6,10.8,0.611,0,0.1,0.5,6.5,10.7,0.612,0.613,2.7,3.8,0.728,4,10,14.1,1.2,0.4,3.1,1.9,2.9,16,25.4,0.641,0.008,0.349,13.7,33,23.5,5.9,0.6,8.6,13.3,19.7,6.56,3.772,10.332,0.213,0.2,3.3,3.5,3.28,1.311422046,2.946262941
Andrew Wiggins,SF,24,MIN,48,68.33333333,68.33333333,34.6,8.5,19,0.447,2.2,6.6,0.333,6.3,12.4,0.507,0.505,3.5,4.9,0.723,1.1,4,5.2,3.7,0.7,0.9,2.5,2.4,22.7,16.7,0.537,0.348,0.257,3.3,12.5,7.7,18.6,0.9,2,10.4,28.2,1.5375,1.5375,3.075,0.063,0.6,-1.3,-0.7,0.683333333,1.110814982,-2.448557716
Grant Williams,PF,21,BOS,48,78.58333333,5.125,15.1,1.2,3.1,0.39,0.3,1.3,0.23,0.9,1.7,0.513,0.44,0.7,1,0.682,0.9,1.7,2.6,1.1,0.4,0.5,0.8,2.3,3.3,7.3,0.48,0.433,0.312,6.7,11.7,9.2,9.1,1.2,3,18.7,12.1,-0.170833333,1.708333333,1.5375,0.061,-2.8,1.8,-1,0.341666667,-3.364162224,2.559739572
Johnathan Williams,C,24,WAS,48,17.08333333,8.541666667,13.4,1.6,2.5,0.64,0,0.2,0,1.6,2.3,0.696,0.64,0.3,0.5,0.6,1.5,2.8,4.3,0.6,0.1,0.6,0.4,1.1,3.5,14.6,0.643,0.08,0.2,11.7,23.7,17.5,5.9,0.3,3.9,12.8,9.6,0.5125,0,0.5125,0.11,-1.2,-0.2,-1.4,0,-1.986017784,-7.158608917
Kenrich Williams,PF,25,NOP,49,58.57142857,30.12244898,22.3,1.4,4.1,0.343,0.7,2.7,0.26,0.7,1.3,0.511,0.43,0.3,0.7,0.375,1.4,3.7,5.1,1.5,0.7,0.6,0.6,2.3,3.8,7.8,0.43,0.671,0.168,6.6,17.7,12.1,8.5,1.5,2.3,12,9.2,0.167346939,1.171428571,1.171428571,0.046,-2.2,1.7,-0.5,0.502040816,-2.232050624,2.578331424
Lou Williams,SG,33,LAC,49,76.97959184,10.04081633,30,6.4,15.4,0.414,1.9,5.2,0.357,4.5,10.2,0.443,0.475,5,5.7,0.875,0.4,2.6,3,6,0.6,0.2,3,1.4,19.7,17.6,0.547,0.339,0.37,1.4,8.8,5.2,31.1,1,0.5,14.5,28.8,3.346938776,2.008163265,5.355102041,0.111,1.3,-1.9,-0.6,0.836734694,2.41424859,-3.407784636
Marvin Williams,PF,33,CHO,49,66.93877551,1.673469388,19.8,2.3,5.2,0.447,1.1,2.9,0.379,1.2,2.3,0.533,0.553,1.1,1.3,0.86,0.4,2.3,2.7,1,0.7,0.5,0.6,1.8,6.8,11.9,0.593,0.558,0.24,2,13.3,7.4,7.6,1.6,2.4,9.8,14.1,1.33877551,0.836734694,2.342857143,0.084,-1.3,-0.2,-1.4,0.167346939,-0.589737132,-1.216703666
Robert Williams,C,22,BOS,48,32.45833333,1.708333333,14.2,1.7,2.6,0.673,0,0,0,1.7,2.6,0.673,0.673,0.4,0.7,0.571,1.2,3.4,4.6,1.1,0.9,1.1,0.8,1.8,3.9,18.2,0.671,0,0.286,9.2,25.4,17.4,10.6,3,7.1,22.5,11.3,0.683333333,1.195833333,1.879166667,0.197,-1.1,7,5.8,0.854166667,-1.74159712,1.915797453
Nigel Williams-Goss,PG,25,UTA,49,15.06122449,0,3.1,0.1,0.8,0.143,0,0.2,0,0.1,0.6,0.2,0.143,0.2,0.2,1,0.2,0.3,0.6,0.6,0.1,0.1,0.2,0.2,0.4,5.7,0.254,0.286,0.286,8.1,11.2,9.7,22.3,1.7,2.9,20.2,15.4,-0.167346939,0,0,-0.039,-6.4,2,-4.4,0,-3.703182426,4.719642301
Zion Williamson,PF,19,NOP,49,8.367346939,8.367346939,25,8,12.8,0.625,0.8,1.2,0.667,7.2,11.6,0.621,0.656,2.4,5,0.48,3.2,4.6,7.8,1.8,0.4,0.2,2.2,1.8,19.2,25.1,0.64,0.094,0.391,13.4,19.7,16.5,13.1,0.7,0.7,12.8,28.3,0.502040816,0.167346939,0.669387755,0.144,2.4,-2.6,-0.1,0.167346939,4.499404195,-0.51003342
D.J. Wilson,PF,23,MIL,48,44.41666667,0,9,1.2,3,0.405,0.4,1.7,0.244,0.8,1.3,0.618,0.475,0.2,0.3,0.714,0.2,1.8,2,0.7,0,0.2,0.5,0.8,3.1,7.9,0.487,0.57,0.089,2.7,18.2,10.9,9.9,0.2,1.5,12.8,16.5,-0.170833333,0.683333333,0.5125,0.053,-4,-0.5,-4.5,-0.170833333,-5.04791715,-3.681697132
Justise Winslow,SF,23,MIA,48,18.79166667,8.541666667,32,4.5,11.7,0.388,0.5,2.5,0.222,4,9.3,0.431,0.411,1.6,2.5,0.667,1.5,5.2,6.6,4,0.6,0.5,2.2,3.5,11.3,8.8,0.44,0.209,0.209,5.4,17.2,11.6,18.7,1,1.4,14.6,20.7,-0.5125,0.683333333,0,0.005,-4.1,0.4,-3.7,-0.341666667,-1.74579037,1.394979809
Christian Wood,PF,24,DET,50,75.44,1.64,17.3,3.5,6.1,0.573,0.6,1.7,0.368,2.9,4.4,0.65,0.624,2.5,3.5,0.736,1.2,4.1,5.3,0.7,0.4,0.8,1.1,1.3,10.1,22.6,0.666,0.272,0.57,8,26.4,17.2,6.4,1.1,4.1,12.5,21.7,3.608,1.476,5.084,0.186,0.6,-0.2,0.4,0.82,1.153207422,3.399132608
Delon Wright,SG,27,DAL,49,78.65306122,6.693877551,21,2.8,5.9,0.478,0.7,1.7,0.378,2.1,4.1,0.521,0.534,1.1,1.4,0.791,1.1,2.8,3.9,3.2,1.2,0.4,0.9,1.3,7.4,17.4,0.57,0.297,0.243,5.5,13.7,9.6,21.2,2.7,1.5,12.3,15.1,3.681632653,2.008163265,5.689795918,0.164,1.4,1.7,3,2.175510204,1.173219662,1.679374954
Thaddeus Young,PF,31,CHI,51,80.39215686,9.647058824,23.3,3.8,8.8,0.434,1.1,3.2,0.333,2.7,5.6,0.493,0.495,0.7,1.1,0.596,1.4,3.2,4.6,1.8,1.1,0.3,1.4,1.9,9.4,12.5,0.505,0.368,0.13,6.1,15.6,10.7,11.9,2.4,1.2,13.2,19.7,-0.482352941,2.411764706,2.090196078,0.052,-2.1,0.8,-1.3,0.321568627,-2.917877864,1.149009585
Trae Young,PG,21,ATL,50,73.8,73.8,34.9,9.1,20.6,0.444,3.4,9.2,0.367,5.8,11.4,0.506,0.526,7.4,8.8,0.841,0.6,4,4.6,9,1.1,0.1,4.8,1.6,29,24.1,0.594,0.447,0.428,2,12.4,7.1,45.9,1.5,0.3,16.4,34.7,6.232,0.984,7.216,0.134,7.5,-2.3,5.3,4.756,7.066363095,-3.185809854
Cody Zeller,C,27,CHO,49,76.97959184,45.18367347,23.3,4.4,8.5,0.522,0.4,1.5,0.254,4,7,0.578,0.544,2,3,0.686,2.8,4.3,7.1,1.5,0.7,0.5,1.3,2.5,11.2,18.6,0.575,0.172,0.352,12.7,21,16.7,10.8,1.4,1.8,11.8,20.8,3.179591837,1.506122449,4.685714286,0.124,0.2,-0.2,0,0.836734694,-0.308519528,-2.026525721
Ante Zizic,C,23,CLE,50,26.24,0,9.9,1.8,3.1,0.571,0,0,0,1.8,3.1,0.571,0.571,0.8,0.9,0.867,0.9,2.6,3.4,0.2,0.4,0.3,0.3,1.3,4.3,18.8,0.621,0,0.306,9.6,28.7,19.1,2.9,1.8,2.2,8.3,16.3,0.656,0.164,0.82,0.153,-2.3,-1.5,-3.8,-0.164,-0.875550293,-0.310082967
Ivica Zubac,C,22,LAC,49,82,78.65306122,17.7,3.2,5.5,0.578,0,0,0,3.2,5.5,0.582,0.578,1.6,2.2,0.741,2.7,4.4,7.1,1,0.2,1,0.9,2.3,8,20.7,0.617,0.007,0.4,15.7,25.2,20.5,8.4,0.5,4.8,11.7,17.1,4.183673469,2.510204082,6.526530612,0.218,0.5,2.4,2.9,1.840816327,0.506057453,3.04341892
