player,pos,age,team,team_g,g,gs,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,offensive_raptor,defensive_raptor
Semi Ojeleye,PF,25,BOS,48,78.58333333,6.833333333,15.2,1,2.5,0.414,0.6,1.5,0.366,0.5,1,0.489,0.526,0.5,0.5,0.88,0.4,1.5,1.9,0.5,0.4,0.1,0.2,1.2,3.1,7.6,0.567,0.612,0.216,3.1,10.2,6.7,4.4,1.2,0.4,6.6,8.3,1.195833333,1.366666667,2.391666667,0.098,-1.2,0.1,-1.1,0.341666667,-1.435640888,1.227542046
Jahlil Okafor,C,24,NOP,49,41.83673469,15.06122449,16.1,3.4,5.5,0.616,0,0.1,0.5,3.4,5.4,0.618,0.62,1.5,2.3,0.649,1.8,2.8,4.5,1.4,0.2,0.8,1.4,2.4,8.3,18.5,0.638,0.014,0.413,11.4,18.3,14.8,13.2,0.6,4,17.7,20.3,1.33877551,0.502040816,1.840816327,0.132,-0.4,0.6,0.2,0.334693878,-1.391787853,-2.678616419
Elie Okobo,PG,22,PHO,48,64.91666667,3.416666667,12.2,1.4,3.5,0.391,0.5,1.4,0.352,0.9,2.1,0.418,0.462,1.1,1.6,0.678,0.3,1.2,1.5,2,0.4,0.1,0.4,0.9,4.3,13,0.513,0.406,0.444,3,11,6.9,22.6,1.7,0.7,9.7,16.1,1.025,0.683333333,1.708333333,0.101,-1.1,-1.1,-2.2,0,0.303692136,-3.314966269
Josh Okogie,SG,21,MIN,48,78.58333333,22.20833333,24.1,2.5,6.5,0.394,0.7,2.6,0.254,1.9,3.9,0.486,0.444,2.3,3,0.771,1.4,3.1,4.5,1.6,1.1,0.4,1.5,2.1,8.1,10.9,0.519,0.397,0.471,6,13.7,9.7,9.3,2.1,1.5,15.9,15.9,0.341666667,1.708333333,2.05,0.053,-2.4,0.9,-1.5,0.170833333,-3.079479829,0.314530936
KZ Okpala,SF,20,MIA,48,5.125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0.3,0,0,-13.5,0,0,0,0,35.3,18.7,0,0,0,100,14.7,0,0,0,-0.407,-23.3,-1.3,-24.6,0,-29.58431418,-12.18767422
Victor Oladipo,SG,27,IND,49,3.346938776,0,21.5,2,11,0.182,1,5.5,0.182,1,5.5,0.182,0.227,3,3,1,0,2,2,2.5,0.5,0,1.5,0,8,1.2,0.325,0.5,0.273,0,10.3,5.2,14.9,1.1,0,10.9,28.3,-0.334693878,0,-0.334693878,-0.188,-8.8,-4.1,-12.8,-0.167346939,-9.086407159,2.734206704
Kelly Olynyk,C,28,MIA,48,71.75,0,19.6,2.6,5.6,0.462,1.3,3.2,0.403,1.3,2.4,0.54,0.577,1.4,1.6,0.879,0.7,3.8,4.6,1.3,0.6,0.3,1,2.5,7.8,13.8,0.623,0.573,0.282,4.5,20.7,13,9.7,1.6,1.5,14.1,16.4,2.05,1.879166667,3.929166667,0.134,0.2,0.5,0.6,0.854166667,-0.188076555,-0.498939618
Miye Oni,SG,22,UTA,49,5.020408163,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0.3,0,0,-5,0,0,0,0,13,6.8,0,0,0,100,5.5,0,0,0,-0.14,-11.6,0.7,-10.9,0,-11.25450855,10.64695508
Cedi Osman,SF,24,CLE,50,82,82,28.8,4.1,9.2,0.448,1.9,4.7,0.392,2.2,4.4,0.507,0.549,0.9,1.3,0.662,0.5,2.8,3.3,2.3,0.9,0.3,1.3,2.4,10.9,11.3,0.561,0.517,0.142,1.9,10.9,6.4,11.9,1.5,0.8,11.9,16.4,1.804,0.492,2.296,0.046,0,-1.3,-1.2,0.492,-0.345218263,-0.558762931
Kelly Oubre,SF,24,PHO,48,78.58333333,78.58333333,34.2,6.5,14.4,0.455,1.8,5.3,0.344,4.7,9.1,0.52,0.519,3.6,4.6,0.784,1.2,5.4,6.6,1.5,1.4,0.8,1.7,3.4,18.5,15.4,0.565,0.369,0.322,3.8,17.9,10.7,6.9,1.9,1.9,9.1,22.4,2.5625,3.075,5.6375,0.1,-0.5,0.1,-0.4,1.025,0.21672541,0.868872928
Jabari Parker,PF,24,ATL,50,52.48,37.72,26.2,6.2,12.3,0.504,1,3.6,0.27,5.2,8.7,0.601,0.543,1.7,2.3,0.736,1.7,4.3,6,1.8,1.3,0.5,1.9,2.9,15,17.4,0.565,0.293,0.183,6.8,17.8,12.2,11.7,2.3,1.5,12.4,24,0.984,1.148,2.132,0.074,-0.1,-0.5,-0.6,0.492,1.133385397,-2.10782061
Chandler Parsons,SF,31,ATL,50,8.2,0,10.8,1,3.6,0.278,0.8,2.8,0.286,0.2,0.8,0.25,0.389,0,0,0,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,2.8,5.7,0.389,0.778,0,2,12.1,6.9,7.6,3.4,1.5,14.3,16.1,-0.164,0.164,-0.164,-0.062,-5.1,-0.2,-5.4,0,-7.067723937,-4.137979976
Eric Paschall,PF,23,GSW,50,73.8,36.08,26.8,5.1,10.5,0.49,0.6,2,0.283,4.6,8.4,0.541,0.518,2.6,3.3,0.792,1.4,3.2,4.6,1.7,0.6,0.2,1.5,2.1,13.5,14.3,0.565,0.195,0.316,5.3,13.4,9.2,10.8,1,0.7,11,21.3,1.804,0.656,2.624,0.063,-1.3,-2.1,-3.4,-0.656,-1.192577152,-2.931986094
Anzejs Pasecniks,C,24,WAS,48,32.45833333,0,19.5,2.8,5.4,0.529,0,0.1,0,2.8,5.3,0.54,0.529,1.6,2.6,0.62,1.9,3,4.9,0.9,0.4,0.5,1.2,3.1,7.3,12.4,0.56,0.02,0.49,10.5,17.5,13.8,6.2,1,2.3,15.1,16.3,0.5125,0.170833333,0.683333333,0.055,-2.4,-1.3,-3.6,-0.341666667,-1.982414077,-1.145888716
Patrick Patterson,PF,30,LAC,49,73.63265306,28.44897959,13,1.6,4,0.398,1.1,3,0.371,0.5,1,0.477,0.537,0.6,0.8,0.794,0.6,2,2.6,0.7,0.1,0.1,0.3,0.9,4.9,11.8,0.566,0.75,0.193,5.1,15.4,10.4,6.9,0.5,0.5,6.8,14.8,1.506122449,1.004081633,2.342857143,0.121,0.5,-1.4,-0.8,0.334693878,0.178827981,1.248406335
Justin Patton,C,22,OKC,50,8.2,0,4.8,0.8,2,0.4,0.2,0.8,0.25,0.6,1.2,0.5,0.45,0,0,0,0.2,0.8,1,0.4,0,0,0.4,0.8,1.8,4.8,0.45,0.4,0,4.8,17.8,11.5,12.6,0,0,16.7,22,0,0,0,-0.062,-5.8,-2.9,-8.7,0,-4.970317283,-5.759401366
Chris Paul,PG,34,OKC,50,80.36,80.36,31.6,6,12.5,0.477,1.6,4.5,0.356,4.4,8.1,0.544,0.541,3.6,4,0.897,0.3,4.7,5.1,6.6,1.6,0.1,2.1,2.3,17.1,21.2,0.599,0.357,0.318,1.3,15.9,8.8,32.5,2.5,0.3,12.8,22.8,6.724,3.444,10.168,0.192,3.9,0.6,4.6,4.264,5.767466783,-2.042640815
Elfrid Payton,PG,25,NYK,50,50.84,36.08,26.6,4,9.4,0.423,0.4,1.7,0.231,3.6,7.7,0.464,0.443,0.6,1.2,0.5,1.1,3.3,4.4,6.5,1.4,0.5,2,2,8.9,14.5,0.45,0.179,0.131,4.1,13.6,8.7,36.7,2.6,1.6,16.5,18.9,0,1.312,1.312,0.044,-1.2,0.8,-0.5,0.492,-0.31145665,1.212276614
Gary Payton,PG,27,WAS,48,34.16666667,27.33333333,19.6,2.2,5.2,0.413,0.6,2,0.282,1.6,3.3,0.492,0.466,0.2,0.4,0.5,1.3,2.4,3.7,2.2,1.6,0.4,1,2.2,5.1,11.9,0.47,0.375,0.077,6.7,13.9,10.1,14.5,3.8,1.5,15,13.4,0.170833333,0.5125,0.683333333,0.045,-1,1.4,0.4,0.341666667,-2.629181717,0.277947211
