Player,Tm,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,All-NBA,All-Star
George Gervin,SAS,78,41,10,37.6,33.1,5.2,2.6,1.4,1,0.528,0.314,0.852,10.6,0.173,3.1,2.2,1,1
Eddie Johnson,ATL,79,50,6,33.2,18.5,2.5,4.7,1.5,0.3,0.487,0.385,0.828,8.2,0.15,2.8,2.2,0,1
Moses Malone,HOU,82,41,9,38.3,25.8,14.5,1.8,1,1.3,0.502,0,0.719,11.9,0.183,3.8,2.8,1,1
Julius Erving,PHI,78,59,3,36.1,26.9,7.4,4.6,2.2,1.8,0.519,0.2,0.787,12.5,0.213,6.5,7.2,1,1
John Drew,ATL,80,50,6,28.8,19.5,5.9,1.3,1.1,0.3,0.453,0,0.757,6.4,0.134,0.8,-0.7,0,1
Elvin Hayes,WSB,81,39,11,39.3,23,11.1,1.6,0.8,2.3,0.454,0.231,0.699,6.2,0.094,1.3,-0.4,0,1
Dan Roundfield,ATL,81,50,6,32,16.5,10.3,2.3,1.2,1.7,0.499,0,0.71,9.1,0.169,4.3,4.6,1,1
Larry Bird,BOS,82,61,1,36,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,0.182,5.4,5.3,1,1
Tiny Archibald,BOS,80,61,1,35.8,14.1,2.5,8.4,1.3,0.1,0.482,0.222,0.83,8.9,0.148,1.5,0,0,1
Bill Cartwright,NYK,82,39,12,38.4,21.7,8.9,2,0.6,1.2,0.547,0,0.797,9.7,0.148,2.1,0.6,0,1
Micheal Ray Richardson,NYK,82,39,12,37.3,15.3,6.6,10.1,3.2,0.4,0.472,0.245,0.66,6,0.094,4.4,3.7,0,1
Marques Johnson,MIL,77,49,7,34.9,21.7,7.4,3.5,1.3,0.9,0.544,0.222,0.791,11.5,0.206,4.8,5.1,1,1
Adrian Dantley,UTA,68,24,21,39.3,28,7.6,2.8,1.4,0.2,0.576,0,0.842,10.5,0.189,3.8,3.6,0,1
Kareem Abdul-Jabbar,LAL,82,60,2,38.3,24.8,10.8,4.5,1,3.4,0.604,0,0.765,14.8,0.227,6.8,6.7,1,1
Magic Johnson,LAL,77,60,2,36.3,18,7.7,7.3,2.4,0.5,0.53,0.226,0.81,10.5,0.18,5.3,5.5,0,1
World B. Free,SDC,68,35,16,38,30.2,3.5,4.2,1.2,0.5,0.474,0.36,0.753,8,0.148,1.9,1,0,1
Jack Sikma,SEA,82,56,4,34.1,14.3,11.1,3.4,0.8,0.9,0.475,0,0.805,8.6,0.148,2.8,1.9,0,1
Paul Westphal,PHO,82,55,5,32.5,21.9,2.3,5.1,1.5,0.4,0.525,0.28,0.862,10.5,0.189,2.9,2.4,1,1
Walter Davis,PHO,75,55,5,30.8,21.5,3.6,4.5,1.5,0.3,0.563,0,0.819,8.3,0.173,3.1,3.3,0,1
Dennis Johnson,SEA,81,56,4,36.3,19,5.1,4.1,1.8,1,0.422,0.207,0.78,7.4,0.12,2.8,1.7,1,1
Kermit Washington,POR,80,38,13,33.2,13.4,10.5,2.1,0.9,1.6,0.553,0,0.642,9.1,0.165,3.9,3.8,0,1
Otis Birdsong,KCK,82,47,8,35.2,22.7,4,2.5,1.7,0.3,0.505,0.278,0.694,8.6,0.143,3.1,2.2,0,1
Gus Williams,SEA,82,56,4,36.2,22.1,3.4,4.8,2.4,0.5,0.482,0.194,0.788,11.6,0.187,4.5,4.1,1,0
Julius Erving,PHI,82,62,2,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231,7.2,8,1,1
Eddie Johnson,ATL,75,31,18,35.9,19.1,2.4,5.4,1.7,0.1,0.504,0.3,0.784,6.9,0.122,2,1,0,1
Artis Gilmore,CHI,82,45,8,34.5,17.9,10.1,2.1,0.6,2.4,0.67,0,0.705,12.3,0.208,4.9,4.9,0,1
Reggie Theus,CHI,82,45,8,34.4,18.9,3.5,5.2,1.5,0.2,0.495,0.2,0.809,9.2,0.156,3,2.1,0,1
Larry Bird,BOS,82,62,1,39.5,21.2,10.9,5.5,2,0.8,0.478,0.27,0.863,10.8,0.16,5.8,5.1,1,1
Robert Parish,BOS,82,62,1,28,18.9,9.5,1.8,1,2.6,0.545,0,0.71,10.9,0.228,4,5,0,1
Tiny Archibald,BOS,80,62,1,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0,0.816,6.9,0.118,0.5,-1.3,1,1
Micheal Ray Richardson,NYK,79,50,7,40.2,16.4,6.9,7.9,2.9,0.4,0.469,0.225,0.663,6.9,0.104,5.2,4.5,0,1
Marques Johnson,MIL,76,60,3,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0,0.706,11.2,0.211,5.1,5.9,1,1
Bobby Jones,PHI,81,62,2,25.3,13.5,5.4,2.8,1.2,0.9,0.539,0,0.813,9.2,0.217,3.6,5,0,1
Mike Mitchell,CLE,82,28,19,39,24.5,6.1,1.7,0.8,0.6,0.476,0.444,0.784,6,0.091,0.4,-1.5,0,1
Paul Westphal,SEA,36,34,17,29.9,16.7,1.9,4.1,1.3,0.4,0.442,0.24,0.832,2.4,0.106,0.2,-1.2,0,1
George Gervin,SAS,82,52,6,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182,2.5,1.6,1,1
Kareem Abdul-Jabbar,LAL,80,54,5,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,14.3,0.23,5.4,5.3,1,1
Walter Davis,PHO,78,57,4,28,18,2.6,3.9,1.2,0.2,0.539,0.412,0.836,7.1,0.157,1.6,0.9,0,1
Adrian Dantley,UTA,80,28,20,42.7,30.7,6.4,4,1.4,0.2,0.559,0.286,0.806,13.6,0.191,5.7,4.6,1,1
Jamaal Wilkes,LAL,81,54,5,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135,2.2,0.8,0,1
Dennis Johnson,PHO,79,57,4,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154,2.6,2,1,1
Moses Malone,HOU,80,40,11,40.6,27.8,14.8,1.8,1,1.9,0.522,0.333,0.757,13.7,0.202,4.7,3.7,1,1
Truck Robinson,PHO,82,57,4,37.7,18.8,9.6,2.5,0.8,0.5,0.505,0,0.629,7.6,0.119,1.5,0,0,1
Jack Sikma,SEA,82,34,17,35.6,18.7,10.4,3,1,1.1,0.454,0,0.823,8,0.132,2.6,1.5,0,1
Otis Birdsong,KCK,71,40,12,36.5,24.6,3.6,3.3,1.3,0.3,0.544,0.286,0.697,8.2,0.152,2.8,2.4,1,1
Julius Erving,PHI,81,58,2,34.4,24.4,6.9,3.9,2,1.7,0.546,0.273,0.763,13.3,0.229,6.9,7.8,1,1
Larry Bird,BOS,77,63,1,38,22.9,10.9,5.8,1.9,0.9,0.503,0.212,0.863,12.5,0.205,7,7.5,1,1
Tiny Archibald,BOS,68,63,1,31.9,12.6,1.7,8,0.8,0,0.472,0.375,0.747,5.2,0.115,-0.2,-2.5,0,1
Isiah Thomas,DET,72,39,15,33.8,17,2.9,7.8,2.1,0.2,0.424,0.288,0.704,2.3,0.046,0.6,-1,0,1
Artis Gilmore,CHI,82,34,17,34.1,18.5,10.2,1.7,0.6,2.7,0.652,1,0.768,12.1,0.208,4.6,4.5,0,1
Sidney Moncrief,MIL,80,55,4,37.3,19.8,6.7,4.8,1.7,0.3,0.523,0.071,0.817,13.4,0.216,5.6,5.5,1,1
Buck Williams,NJN,82,44,11,34.5,15.5,12.3,1.3,1,1,0.582,0,0.624,8.9,0.152,2.7,1.8,0,1
Robert Parish,BOS,80,63,1,31.7,19.9,10.8,1.8,0.9,2.4,0.542,0,0.71,10,0.19,3.7,3.8,1,1
Micheal Ray Richardson,NYK,82,33,18,37.1,17.9,6.9,7,2.6,0.5,0.461,0.188,0.7,5.5,0.086,4.6,4.1,0,1
Kelly Tripucka,DET,82,39,15,37.5,21.6,5.4,3.3,1.1,0.2,0.496,0.227,0.797,7.5,0.117,2.5,1.2,0,1
Bobby Jones,PHI,76,58,2,28.7,14.4,5.2,2.5,1.3,1.5,0.564,0,0.79,8.2,0.181,3.4,4.2,0,1
Bob Lanier,MIL,74,55,4,26.8,13.5,5.2,3,1,0.8,0.558,0,0.752,6.6,0.16,2.1,2.2,0,1
George Gervin,SAS,79,48,6,35.7,32.3,5,2.4,1,0.6,0.5,0.278,0.864,10.7,0.182,2.6,1.7,1,1
Gus Williams,SEA,80,52,5,36,23.4,3.1,6.9,2.2,0.5,0.486,0.225,0.734,10.2,0.171,4.5,4.2,1,1
Kareem Abdul-Jabbar,LAL,76,57,3,35.2,23.9,8.7,3,0.8,2.7,0.579,0,0.706,10.7,0.192,4.2,4.3,0,1
Adrian Dantley,UTA,81,25,21,39.8,30.3,6.3,4,1.2,0.2,0.57,0.333,0.792,12.6,0.187,5.3,4.6,0,1
Lonnie Shelton,SEA,81,52,5,32.9,14.9,6.3,3.1,1.2,0.5,0.486,0,0.783,5.8,0.105,2.2,1.2,0,1
Magic Johnson,LAL,78,57,3,38.3,18.6,9.6,9.5,2.7,0.4,0.537,0.207,0.76,12.9,0.207,7.8,8.3,1,1
Jack Sikma,SEA,82,52,5,37.2,19.6,12.7,3.4,1.2,1.3,0.479,0.154,0.855,12.6,0.199,4.7,4.1,0,1
Moses Malone,HOU,81,46,8,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.218,5.4,4.3,1,1
Norm Nixon,LAL,82,57,3,36.9,17.6,2.1,8,1.6,0.1,0.493,0.25,0.808,6.6,0.104,0.4,-1.4,0,1
Dennis Johnson,PHO,80,46,9,36.7,19.5,5.1,4.6,1.3,0.7,0.47,0.19,0.806,8.1,0.132,2.7,1.7,0,1
Bernard King,GSW,79,45,10,36.2,23.2,5.9,3.6,1,0.3,0.566,0.2,0.705,8.7,0.147,3.4,2.7,1,1
Alex English,DEN,82,46,7,36.8,25.4,6.8,5.3,1.1,1.5,0.551,0,0.84,9.5,0.152,4.6,4.1,1,1
Isiah Thomas,DET,81,37,16,38.2,22.9,4,7.8,2.5,0.4,0.472,0.288,0.71,7.4,0.115,3.4,2.4,1,1
Larry Bird,BOS,79,56,3,37.7,23.6,11,5.8,1.9,0.9,0.504,0.286,0.84,14,0.225,7.2,7.6,1,1
Julius Erving,PHI,72,65,1,33.6,21.4,6.8,3.7,1.6,1.8,0.517,0.286,0.759,10.9,0.217,5.1,6.3,1,1
Moses Malone,PHI,78,65,1,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248,4,3.4,1,1
Maurice Cheeks,PHI,79,65,1,31.2,12.5,2.6,6.9,2.3,0.4,0.542,0.167,0.754,9.4,0.183,3.6,3.8,0,1
Sidney Moncrief,MIL,76,51,6,35.7,22.5,5.8,3.9,1.5,0.3,0.524,0.1,0.826,13.2,0.233,5.3,5.7,1,1
Marques Johnson,MIL,80,51,6,35.7,21.4,7,4.5,1.3,0.7,0.509,0.2,0.735,10.7,0.18,4.9,4.8,0,1
Buck Williams,NJN,82,49,7,36.1,17,12.5,1.5,1.1,1.3,0.588,0,0.62,11.4,0.185,3.9,3.3,1,1
Robert Parish,BOS,78,56,3,31.5,19.3,10.6,1.8,1,1.9,0.55,0,0.698,10.8,0.211,3.7,4,0,1
Andrew Toney,PHI,81,65,1,30.5,19.7,2.8,4.5,1,0.2,0.501,0.289,0.788,7.3,0.141,1.6,0.6,0,1
Reggie Theus,CHI,82,28,19,34.8,23.8,3.7,5.9,1.7,0.2,0.478,0.231,0.801,6.5,0.11,2.4,1.4,0,1
Bill Laimbeer,DET,82,37,16,35,13.6,12.1,3.2,0.6,1.4,0.497,0.154,0.79,8.5,0.142,3.1,2.3,0,1
Magic Johnson,LAL,79,58,2,36.8,16.8,8.6,10.5,2.2,0.6,0.548,0,0.8,12.5,0.207,6.9,7.4,1,1
Kareem Abdul-Jabbar,LAL,79,58,2,32.3,21.8,7.5,2.5,0.8,2.2,0.588,0,0.749,10.9,0.205,3.8,3.8,1,1
Maurice Lucas,PHO,77,53,4,33.6,16.5,10.4,2.8,0.7,0.6,0.474,0.333,0.781,7.1,0.132,1.6,0.4,0,1
Alex English,DEN,82,45,10,36.4,28.4,7.3,4.8,1.4,1.5,0.516,0.167,0.829,10.3,0.166,5,4.7,1,1
David Thompson,SEA,75,48,8,28.7,15.9,3.6,3,0.6,0.4,0.481,0.2,0.784,5.4,0.12,1,-0.2,0,1
Jim Paxson,POR,81,46,9,33.8,21.7,2.1,2.9,1.7,0.2,0.515,0.16,0.812,10.2,0.178,2.6,1.8,0,1
Jack Sikma,SEA,75,48,8,34.2,18.2,11.4,3.1,1.2,0.9,0.464,0,0.837,9.8,0.183,3.4,3.2,0,1
Artis Gilmore,SAS,82,53,5,34.1,18,12,1.5,0.5,2.3,0.626,0,0.74,11,0.189,4,3.6,0,1
Jamaal Wilkes,LAL,80,58,2,31.9,19.6,4.3,2.3,0.8,0.2,0.53,0,0.757,7.4,0.139,1.1,-0.3,0,1
Gus Williams,SEA,80,48,8,34.5,20,2.6,8,2.3,0.3,0.477,0.047,0.751,8.5,0.148,3.3,2.7,0,1
George Gervin,SAS,78,53,5,36.3,26.2,4.6,3.4,1.1,0.9,0.487,0.364,0.853,9.4,0.159,2.2,1.1,1,1
Kiki Vandeweghe,DEN,82,45,10,35.5,26.7,5.3,2.5,0.8,0.5,0.547,0.294,0.875,11,0.182,2.7,1.6,0,1
Isiah Thomas,DET,82,49,5,36.7,21.3,4,11.1,2.5,0.4,0.462,0.338,0.733,9.1,0.144,4.7,4.3,1,1
Julius Erving,PHI,77,52,3,34.8,22.4,6.9,4,1.8,1.8,0.512,0.333,0.754,10.1,0.18,5.3,5.9,1,1
Larry Bird,BOS,79,62,1,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215,7.4,7.8,1,1
Robert Parish,BOS,80,62,1,35.8,19,10.7,1.7,0.7,1.5,0.546,0,0.745,10.5,0.175,2.9,2.1,0,1
Sidney Moncrief,MIL,79,50,4,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7,0.198,5.3,4.8,1,1
Bernard King,NYK,77,47,7,34.6,26.3,5.1,2.1,1,0.2,0.572,0,0.779,12.1,0.218,3.7,3.6,1,1
Andrew Toney,PHI,78,52,3,32.8,20.4,2.5,4.8,0.9,0.3,0.527,0.316,0.839,6.4,0.12,1.1,-0.2,0,1
Bill Laimbeer,DET,82,49,5,34.9,17.3,12.2,1.8,0.6,1,0.53,0,0.866,10.8,0.181,3.2,2.4,0,1
Jeff Ruland,WSB,75,35,18,41.1,22.2,12.3,3.9,0.9,1,0.579,0.143,0.733,9.3,0.144,4.9,4.3,0,1
Otis Birdsong,NJN,69,45,8,31.4,19.8,2.5,3.9,1.2,0.2,0.508,0.25,0.608,4.5,0.1,1,-0.1,0,1
Kevin McHale,BOS,82,62,1,31.4,18.4,7.4,1.3,0.3,1.5,0.556,0.333,0.765,10.5,0.196,2.4,1.6,0,1
Kelly Tripucka,DET,76,49,5,32.8,21.3,4,3,0.9,0.2,0.459,0.118,0.815,5.7,0.109,0.8,-0.8,0,1
Kareem Abdul-Jabbar,LAL,80,54,2,32.8,21.5,7.3,2.6,0.7,1.8,0.578,0,0.723,8.9,0.163,3.2,2.8,1,1
Magic Johnson,LAL,67,54,2,38.3,17.6,7.3,13.1,2.2,0.7,0.565,0.207,0.81,10.2,0.191,5.2,6.1,1,1
George Gervin,SAS,76,37,17,34,25.9,4.1,2.9,1,0.6,0.49,0.417,0.842,5.5,0.102,1.1,-0.4,0,1
Alex English,DEN,82,38,14,35,26.4,5.7,5,1,1.2,0.529,0.143,0.824,8.2,0.136,3.9,3.3,0,1
Adrian Dantley,UTA,79,45,9,37.8,30.6,5.7,3.9,0.8,0.1,0.558,0.25,0.859,14.6,0.235,4.8,4.4,1,1
Jack Sikma,SEA,82,42,11,36.5,19.1,11.1,4,1.2,1.1,0.499,0,0.856,9.7,0.156,4.5,4,0,1
Kiki Vandeweghe,DEN,78,38,14,35.1,29.4,4.8,3.1,0.7,0.6,0.558,0.367,0.852,10.3,0.181,2.7,1.9,0,1
Rickey Green,UTA,81,45,9,34.2,13.2,2.8,9.2,2.7,0.2,0.486,0.118,0.821,7.9,0.138,2.4,1.4,0,1
Ralph Sampson,HOU,82,29,20,32.8,21,11.1,2,0.9,2.4,0.523,0.25,0.661,6,0.108,2.3,1.4,0,1
Walter Davis,PHO,78,41,12,32.6,20,2.6,5.5,1.4,0.2,0.512,0.23,0.863,6.2,0.118,1.6,0.5,0,1
Jim Paxson,POR,81,48,6,33.2,21.3,2.1,3.1,1.5,0.1,0.514,0.288,0.841,9.5,0.17,2.1,1.1,1,1
Mark Aguirre,DAL,79,43,10,36.7,29.5,5.9,4.5,1,0.3,0.524,0.268,0.749,9,0.149,3.9,3.3,0,1
Moses Malone,PHI,71,52,3,36.8,22.7,13.4,1.4,1,1.5,0.483,0,0.75,9.5,0.175,1.8,0.7,1,1
Magic Johnson,LAL,77,62,2,36.1,18.3,6.2,12.6,1.5,0.3,0.561,0.189,0.843,12.7,0.22,5.2,5.4,1,1
Ralph Sampson,HOU,82,48,6,37.6,22.1,10.4,2.7,1,2,0.502,0,0.676,6.2,0.096,2.1,0.8,1,1
George Gervin,SAS,72,41,11,29,21.2,3.3,2.5,0.9,0.7,0.508,0,0.844,4.6,0.106,0.4,-1.3,0,1
Kareem Abdul-Jabbar,LAL,79,62,2,33.3,22,7.9,3.2,0.8,2.1,0.599,0,0.732,11.2,0.204,4.6,4.9,1,1
Adrian Dantley,UTA,55,41,12,35.8,26.6,5.9,3.4,1,0.1,0.531,0,0.804,8,0.194,3,3.9,0,1
Rolando Blackman,DAL,81,44,8,35,19.7,3.7,3.6,0.8,0.2,0.508,0.3,0.828,7.3,0.123,1.9,0.6,0,1
Norm Nixon,LAC,81,31,19,35.7,17.2,2.7,8.8,1.2,0,0.465,0.333,0.78,3.7,0.061,0.5,-1.3,0,1
Larry Nance,PHO,61,36,16,36.1,19.9,8.8,2.6,1.4,1.7,0.587,0.5,0.709,7.9,0.173,4,5.2,0,1
Hakeem Olajuwon,HOU,82,48,6,35.5,20.6,11.9,1.4,1.2,2.7,0.538,0,0.613,10.2,0.168,4,3.4,0,1
Alex English,DEN,81,52,5,36.1,27.9,5.7,4.2,1.2,0.6,0.518,0.2,0.829,8.9,0.146,3.2,2.4,0,1
Jack Sikma,SEA,68,31,20,35.3,18.5,10.6,4.2,1.2,1.3,0.489,0.2,0.852,8.3,0.166,4,4.5,0,1
Calvin Natt,DEN,78,52,5,34.1,23.3,7.8,3.1,1,0.4,0.546,0,0.793,10.2,0.185,3.1,2.7,0,1
Moses Malone,PHI,79,58,4,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0,0.815,11.9,0.193,2.6,1.5,1,1
Larry Bird,BOS,80,63,1,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238,8.4,8.5,1,1
Isiah Thomas,DET,81,46,7,38.1,21.2,4.5,13.9,2.3,0.3,0.458,0.257,0.809,11.2,0.173,5.6,5.2,1,1
Julius Erving,PHI,78,58,4,32.5,20,5.3,3,1.7,1.4,0.494,0.214,0.765,7.6,0.144,3.3,3.2,0,1
Michael Jordan,CHI,82,38,14,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213,8.1,8.2,1,1
Bernard King,NYK,55,24,21,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,7.1,0.166,3.3,4.3,1,1
Sidney Moncrief,MIL,73,59,3,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,11.2,0.197,4.6,4.7,1,1
Terry Cummings,MIL,79,59,3,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0,0.741,10.7,0.189,4,3.8,1,1
Micheal Ray Richardson,NJN,82,42,9,38.1,20.1,5.6,8.2,3,0.3,0.469,0.252,0.767,8.7,0.134,5.6,5.1,0,1
Dennis Johnson,BOS,80,63,1,37.2,15.7,4,6.8,1.2,0.5,0.462,0.269,0.853,6.4,0.103,1.7,0.2,0,1
Bill Laimbeer,DET,82,46,7,35.3,17.5,12.4,1.9,0.8,0.9,0.506,0.222,0.797,9.8,0.162,2.9,1.9,0,1
Robert Parish,BOS,79,63,1,36.1,17.6,10.6,1.6,0.7,1.3,0.542,0,0.743,9,0.151,2.2,1,0,1
Isiah Thomas,DET,77,46,8,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151,4.3,4,1,1
Larry Bird,BOS,82,67,1,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244,8.7,9.1,1,1
Moses Malone,PHI,74,54,4,36.6,23.8,11.8,1.2,0.9,1,0.458,0,0.787,8.9,0.157,0.8,-0.8,0,1
Sidney Moncrief,MIL,73,57,3,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219,4.6,5.1,1,1
Julius Erving,PHI,74,54,4,33.4,18.1,5,3.4,1.5,1.1,0.48,0.281,0.785,5.9,0.114,2.8,2.4,0,1
Buck Williams,NJN,82,39,12,37.4,15.9,12,1.6,0.9,1.2,0.523,0,0.676,6.8,0.106,2.2,0.8,0,1
Kevin McHale,BOS,68,67,1,35.3,21.3,8.1,2.7,0.4,2,0.574,0,0.776,11,0.22,4,4.6,0,1
Dominique Wilkins,ATL,78,50,6,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17,4.3,3.6,1,1
Maurice Cheeks,PHI,82,54,4,39.9,15.4,2.9,9.2,2.5,0.3,0.537,0.235,0.842,10.6,0.155,3.6,2.3,0,1
Jeff Malone,WSB,80,39,13,37.4,22.4,3.6,2.4,0.9,0.2,0.483,0.176,0.868,6.1,0.098,0.5,-1.4,0,1
Robert Parish,BOS,81,67,1,31.7,16.1,9.5,1.8,0.8,1.4,0.549,0,0.731,9.2,0.171,3,2.6,0,1
Kareem Abdul-Jabbar,LAL,79,62,2,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,0.197,4.3,4.5,1,1
James Worthy,LAL,75,62,2,32.7,20,5.2,2.7,1.1,1,0.579,0,0.771,9.5,0.185,3.7,4.1,0,1
Magic Johnson,LAL,72,62,2,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226,5.2,5.9,1,1
Ralph Sampson,HOU,79,51,5,36.3,18.9,11.1,3.6,1.3,1.6,0.488,0.133,0.641,5,0.084,2.5,1.5,0,1
Alvin Robertson,SAS,82,35,15,35.1,17,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143,6.2,6.6,1,1
Rolando Blackman,DAL,82,44,9,34,21.5,3.5,3.3,1,0.3,0.514,0.138,0.836,7,0.121,1.6,0.3,0,1
Adrian Dantley,UTA,76,42,10,36.1,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.791,12.8,0.223,4.8,4.9,0,1
Alex English,DEN,81,47,7,37.3,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,0.156,3.2,2.1,1,1
Clyde Drexler,POR,75,40,11,34.3,18.5,5.6,8,2.6,0.6,0.475,0.2,0.769,6.7,0.124,4.6,5.1,1,1
Hakeem Olajuwon,HOU,68,51,5,36.3,23.5,11.5,2,2,3.4,0.526,0,0.645,9.5,0.186,4.6,5.3,0,1
Artis Gilmore,SAS,71,35,15,33.7,16.7,8.5,1.4,0.5,1.5,0.618,0,0.701,7.1,0.143,2.1,1.4,0,1
Marques Johnson,LAC,75,32,16,34.7,20.3,5.5,3.8,1.4,0.7,0.51,0.067,0.76,5.9,0.108,2.7,2.1,0,1
Charles Barkley,PHI,80,54,4,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176,7.3,7.9,1,0
Magic Johnson,LAL,80,65,1,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263,7.4,8.1,1,1
Tom Chambers,SEA,82,39,15,36.8,23.3,6.6,3,1,0.6,0.456,0.372,0.849,7.4,0.118,1.9,0.5,0,1
James Worthy,LAL,82,65,1,34.4,19.4,5.7,2.8,1.3,1,0.539,0,0.751,9.3,0.158,3.1,2.3,0,1
Hakeem Olajuwon,HOU,75,42,11,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,0.189,6,6.6,1,1
Alvin Robertson,SAS,81,28,20,33.3,17.7,5.2,5.2,3.2,0.4,0.466,0.271,0.753,5.3,0.094,4,3.9,0,1
Kareem Abdul-Jabbar,LAL,78,65,1,31.3,17.5,6.7,2.6,0.6,1.2,0.564,0.333,0.714,7.5,0.148,2.2,1.6,0,1
Rolando Blackman,DAL,80,55,4,34.5,21,3.5,3.3,0.8,0.3,0.495,0.333,0.884,8,0.14,1.8,0.6,0,1
Sleepy Floyd,GSW,82,42,10,37.4,18.8,3.3,10.3,1.8,0.2,0.488,0.384,0.86,10,0.157,3.6,2.7,0,1
Joe Barry Carroll,GSW,81,42,10,33.6,21.2,7.3,2.6,1.1,1.5,0.472,0,0.787,4.6,0.082,1.6,0.4,0,1
Mark Aguirre,DAL,80,55,4,33.3,25.7,5.3,3.2,1.1,0.4,0.495,0.353,0.77,8.9,0.16,3.2,2.8,0,1
Walter Davis,PHO,79,36,17,33.5,23.6,3.1,4.6,1.2,0.1,0.514,0.259,0.862,5.8,0.105,1.8,0.7,0,1
Alex English,DEN,82,37,16,37.6,28.6,4.2,5.1,0.9,0.3,0.503,0.267,0.844,8.1,0.126,2.3,1,0,1
Moses Malone,WSB,73,42,12,34.1,24.1,11.3,1.6,0.8,1.3,0.454,0,0.824,9.4,0.182,2.5,1.9,1,1
Larry Bird,BOS,74,59,2,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,0.243,8.5,9.2,1,1
Julius Erving,PHI,60,45,8,32,16.8,4.4,3.2,1.3,1.6,0.471,0.264,0.813,3.5,0.088,1.4,0.9,0,1
Michael Jordan,CHI,82,40,14,40,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247,8.8,8.6,1,1
Dominique Wilkins,ATL,79,57,3,37.6,29,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,0.197,5.2,4.9,1,1
Kevin McHale,BOS,77,59,2,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,14.8,0.232,5.6,5.2,1,1
Isiah Thomas,DET,81,52,5,37.2,20.6,3.9,10,1.9,0.2,0.463,0.194,0.768,7.6,0.121,3.8,3,1,1
Charles Barkley,PHI,68,45,8,40.3,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,0.21,7.8,9.2,1,1
Jeff Malone,WSB,80,42,12,34.5,22,2.7,3.7,0.9,0.2,0.457,0.154,0.885,5.6,0.097,0.8,-0.9,0,1
Bill Laimbeer,DET,82,52,5,34.8,15.4,11.6,1.8,0.9,0.8,0.501,0.286,0.894,10.5,0.176,3.3,2.6,0,1
Robert Parish,BOS,80,59,2,37.4,17.5,10.6,2.2,0.8,1.8,0.556,0,0.735,9.2,0.147,3.3,2.3,0,1
Maurice Cheeks,PHI,68,45,8,38.6,15.6,3.2,7.9,2.6,0.2,0.527,0.235,0.777,7.9,0.145,2.7,2.1,0,1
Fat Lever,DEN,82,37,16,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,0.153,5.9,5.6,1,0
Larry Bird,BOS,76,57,2,39,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,0.243,8.1,8.8,1,1
Dominique Wilkins,ATL,78,50,7,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,0.16,3.7,2.9,1,1
