Player,Tm,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,All-NBA,All-Star
Chauncey Billups,DET,70,53,4,36.2,17,3.4,7.2,1.2,0.2,0.427,0.345,0.883,11.4,0.216,4.1,4.4,1,1
Vince Carter,NJN,82,41,14,38.1,25.2,6,4.8,1,0.4,0.454,0.357,0.802,10.5,0.161,4.8,4.1,0,1
Caron Butler,WAS,63,41,15,39.3,19.1,7.4,3.7,2.1,0.3,0.463,0.25,0.863,5.3,0.103,2.5,1.9,0,1
Richard Hamilton,DET,75,53,4,36.8,19.8,3.8,3.8,0.8,0.2,0.468,0.341,0.861,8.1,0.141,2.2,1.1,0,1
Steve Nash,PHO,76,61,2,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225,3.9,3.8,1,1
Yao Ming,HOU,48,52,5,33.8,25,9.4,2,0.4,2,0.516,0,0.862,7.4,0.22,1.8,2.3,1,1
Dwight Howard,ORL,82,52,9,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0,0.59,12.9,0.2,3.3,2.2,1,1
LeBron James,CLE,75,45,13,40.4,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242,10.1,11.2,1,1
Jason Kidd,NJN,80,34,21,36.3,10.8,7.5,10.1,1.7,0.3,0.385,0.381,0.818,5.9,0.097,3.5,2.8,0,1
Dwyane Wade,MIA,51,15,30,38.3,24.6,4.2,6.9,1.7,0.7,0.469,0.286,0.758,3.3,0.082,2.5,3,0,1
Chris Bosh,TOR,67,41,15,36.2,22.3,8.7,2.6,0.9,1,0.494,0.4,0.844,10.1,0.2,3.5,3.7,0,1
Ray Allen,BOS,73,66,1,35.9,17.4,3.7,3.1,0.9,0.2,0.445,0.398,0.907,9.7,0.177,3.4,3.1,0,1
Chauncey Billups,DET,78,59,2,32.3,17,2.7,6.8,1.3,0.2,0.448,0.401,0.918,13.5,0.257,5.2,6.1,0,1
Richard Hamilton,DET,72,59,2,33.7,17.3,3.3,4.2,1,0.1,0.484,0.44,0.833,7.7,0.152,2.8,2.5,0,1
Rasheed Wallace,DET,77,59,2,30.5,12.7,6.6,1.8,1.2,1.7,0.432,0.356,0.767,7.6,0.155,3.6,4,0,1
Joe Johnson,ATL,82,37,19,40.8,21.7,4.5,5.8,1,0.2,0.432,0.381,0.834,7,0.1,2.7,1.1,0,1
Paul Pierce,BOS,80,66,1,35.9,19.6,5.1,4.5,1.3,0.5,0.464,0.392,0.843,12.4,0.207,4.9,4.7,1,1
Antawn Jamison,WAS,79,43,14,38.7,21.4,10.2,1.5,1.3,0.4,0.436,0.339,0.76,9.2,0.144,1.8,0.3,0,1
Tim Duncan,SAS,78,56,5,34,19.3,11.3,2.8,0.7,1.9,0.497,0,0.73,11.1,0.201,4.5,4.7,1,1
Carmelo Anthony,DEN,77,50,11,36.4,25.7,7.4,3.4,1.3,0.5,0.492,0.354,0.786,8.2,0.14,2.6,1.6,0,1
Allen Iverson,DEN,82,50,11,41.8,26.4,3,7.1,2,0.1,0.458,0.345,0.809,11.6,0.163,3.1,1.6,0,1
Yao Ming,HOU,55,55,6,37.2,22,10.8,2.3,0.5,2,0.507,0,0.85,8.3,0.196,2.6,2.9,1,1
Kobe Bryant,LAL,82,57,3,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,6,5.4,1,1
Brandon Roy,POR,74,41,16,37.7,19.1,4.7,5.8,1.1,0.2,0.454,0.34,0.753,8,0.138,3.9,3.5,0,1
Chris Paul,NOH,80,56,4,37.6,21.1,4,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284,8.5,9.2,1,1
Dirk Nowitzki,DAL,77,51,10,36,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,12.9,0.223,5,5.2,1,1
Amar'e Stoudemire,PHO,79,55,7,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262,4,3.9,1,1
Steve Nash,PHO,81,55,7,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181,2.6,1.6,1,1
Carlos Boozer,UTA,81,54,8,34.9,21.1,10.4,2.9,1.2,0.5,0.547,0,0.738,10.2,0.173,3.7,3.2,1,1
David West,NOH,76,56,4,37.8,20.6,8.9,2.3,0.8,1.3,0.482,0.24,0.85,8.4,0.14,2.3,1.1,0,1
Tracy McGrady,HOU,66,55,6,37,21.6,5.1,5.9,1,0.5,0.419,0.292,0.684,5.8,0.115,2.7,2.4,1,0
Manu Ginobili,SAS,74,56,5,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,5.9,8.1,1,0
Deron Williams,UTA,82,54,8,37.3,18.8,3,10.5,1.1,0.3,0.507,0.395,0.803,11.3,0.177,3.2,2.1,1,0
Kevin Garnett,BOS,71,66,1,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0,0.801,12.9,0.265,5.5,7.4,1,1
Kobe Bryant,LAL,82,65,2,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206,4.9,4.5,1,1
Chris Paul,NOH,78,49,10,38.5,22.8,5.5,11,2.8,0.1,0.503,0.364,0.868,18.3,0.292,10,11.2,1,1
Amar'e Stoudemire,PHO,53,46,13,36.8,21.4,8.1,2,0.9,1.1,0.539,0.429,0.835,6.1,0.149,1.5,1,0,1
Tim Duncan,SAS,75,54,7,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0,0.692,10.1,0.191,4.2,4.6,1,1
Yao Ming,HOU,77,53,8,33.6,19.7,9.9,1.8,0.4,1.9,0.548,1,0.866,10.6,0.196,3.3,3,1,1
Brandon Roy,POR,78,54,6,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223,5.7,5.8,1,1
Tony Parker,SAS,72,54,7,34.1,22,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168,3.2,3.1,1,1
Chauncey Billups,DEN,79,54,5,35.3,17.7,3,6.4,1.2,0.2,0.418,0.408,0.913,10.1,0.174,3.2,2.5,1,1
Pau Gasol,LAL,81,65,2,37,18.9,9.6,3.5,0.6,1,0.567,0.5,0.781,13.9,0.223,5.3,5,1,1
David West,NOH,76,49,10,39.2,21,8.5,2.3,0.6,0.9,0.472,0.24,0.884,7.8,0.125,1.2,-0.5,0,1
Dirk Nowitzki,DAL,81,50,9,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171,2.4,1.2,1,1
Shaquille O'Neal,PHO,75,46,13,30,17.8,8.4,1.7,0.7,1.4,0.609,0,0.595,7.8,0.166,2.3,2,1,1
Dwight Howard,ORL,79,59,4,35.7,20.6,13.8,1.4,1,2.9,0.572,0,0.594,13.8,0.234,4.6,4.4,1,1
LeBron James,CLE,81,66,1,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,11.6,13,1,1
Dwyane Wade,MIA,79,43,14,38.6,30.2,5,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232,9.7,10.7,1,1
Kevin Garnett,BOS,57,62,3,31.1,15.8,8.5,2.5,1.1,1.2,0.531,0.25,0.841,7.1,0.193,2.7,4,0,1
Allen Iverson,DET,57,39,17,36.7,17.5,3,5,1.5,0.1,0.417,0.283,0.781,2.9,0.066,0.7,-0.7,0,1
Joe Johnson,ATL,79,47,12,39.5,21.4,4.4,5.8,1.1,0.2,0.437,0.36,0.826,7.6,0.116,3,1.7,0,1
Rashard Lewis,ORL,79,59,4,36.2,17.7,5.7,2.6,1,0.6,0.439,0.397,0.836,9.5,0.16,4.5,4.2,0,1
Paul Pierce,BOS,81,62,3,37.5,20.5,5.6,3.6,1,0.3,0.457,0.391,0.83,10.3,0.164,3.4,2.5,1,1
Ray Allen,BOS,79,62,3,36.4,18.2,3.5,2.8,0.9,0.2,0.48,0.409,0.952,11.1,0.186,4.3,3.9,0,1
Devin Harris,NJN,69,34,21,36.1,21.3,3.3,6.9,1.7,0.2,0.438,0.291,0.82,7.5,0.145,2.8,2.5,0,1
Mo Williams,CLE,81,66,1,35,17.8,3.4,4.1,0.9,0.1,0.467,0.436,0.912,9.8,0.165,3.1,2.3,0,1
Danny Granger,IND,67,36,18,36.2,25.8,5.1,2.7,1,1.4,0.447,0.404,0.878,8,0.158,3,2.9,0,1
Carmelo Anthony,DEN,66,54,5,34.5,22.8,6.8,3.4,1.1,0.4,0.443,0.371,0.793,5,0.105,1.3,0.3,1,0
LeBron James,CLE,76,61,1,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299,10.9,12.5,1,1
Dwyane Wade,MIA,77,47,13,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13,0.224,8,9.4,1,1
Dwight Howard,ORL,82,59,2,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,13.2,0.223,5.4,5.5,1,1
Joe Johnson,ATL,76,53,6,38,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,8.4,0.14,3,2.2,1,1
Kevin Garnett,BOS,69,50,9,29.9,14.3,7.3,2.7,1,0.8,0.521,0.2,0.837,7.3,0.171,2.4,2.6,0,1
Chris Bosh,TOR,70,40,19,36.1,24,10.8,2.4,0.6,1,0.518,0.364,0.797,9.6,0.182,2.7,2.3,0,1
Rajon Rondo,BOS,81,50,9,36.6,13.7,4.4,9.8,2.3,0.1,0.508,0.213,0.621,9.6,0.156,4.1,3.5,0,1
Gerald Wallace,CHA,76,44,15,41,18.2,10,2.1,1.5,1.1,0.484,0.371,0.776,11.5,0.177,4.3,3.5,0,1
Derrick Rose,CHI,78,41,17,36.8,20.8,3.8,6,0.7,0.3,0.489,0.267,0.766,6,0.1,1.8,0.5,0,1
Al Horford,ATL,81,53,6,35.1,14.2,9.9,2.3,0.7,1.1,0.551,1,0.789,10.9,0.183,3.8,3.3,0,1
David Lee,NYK,81,29,23,37.3,20.2,11.7,3.6,1,0.5,0.545,0,0.812,10.3,0.163,3.7,2.9,0,1
Paul Pierce,BOS,71,50,9,34,18.3,4.4,3.1,1.2,0.4,0.472,0.414,0.852,8.3,0.165,2.9,2.7,0,1
Carmelo Anthony,DEN,69,53,7,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145,2.3,1.4,1,1
Dirk Nowitzki,DAL,81,55,4,37.5,25,7.7,2.7,0.9,1,0.481,0.421,0.915,12.3,0.194,3.5,2.6,1,1
Steve Nash,PHO,81,54,5,32.8,16.5,3.3,11,0.5,0.1,0.507,0.426,0.938,9.9,0.178,2.6,1.8,1,1
Amar'e Stoudemire,PHO,82,54,5,34.6,23.1,8.9,1,0.6,1,0.557,0.167,0.771,10.7,0.181,1.6,0.3,1,1
Tim Duncan,SAS,78,50,12,31.3,17.9,10.1,3.2,0.6,1.5,0.518,0.182,0.725,10.9,0.215,4.7,5.6,1,1
Deron Williams,UTA,76,53,8,36.9,18.7,4,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177,3.7,3.3,1,1
Chauncey Billups,DEN,73,53,7,34.1,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,9.5,0.182,3.2,3.1,0,1
Pau Gasol,LAL,65,57,3,37,18.3,11.3,3.4,0.6,1.7,0.536,0,0.79,11,0.22,4.5,5.4,1,1
Kevin Durant,OKC,82,50,10,39.5,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,16.1,0.238,5.8,5.1,1,1
Zach Randolph,MEM,81,40,18,37.7,20.8,11.7,1.8,1,0.4,0.488,0.288,0.778,9.7,0.153,2.2,0.9,0,1
Chris Kaman,LAC,76,29,22,34.3,18.5,9.3,1.6,0.5,1.2,0.49,0,0.749,2.4,0.044,-0.8,-3.2,0,1
Jason Kidd,DAL,80,55,4,36,10.3,5.6,9.1,1.8,0.4,0.423,0.425,0.808,8.9,0.148,4.6,4.3,0,1
